order;Type;IS;PL;EL;area
69;Runoff Shallow;0.0211655903165239;0.472105595880435;0.506728813803041;3
70;Runoff Shallow;0.0364518499895691;0.415582628976702;0.547965521033729;3
71;Runoff Shallow;0.0658485032069635;0.390701002979003;0.543450493814034;3
66;Runoff Shallow;0.103476219325228;0.472701808870991;0.423821971803781;3
59;Runoff Shallow;0.0752554322365296;0.645671672883772;0.279072894879699;
60;Runoff Shallow;0.068200235464355;0.623741022797354;0.308058741738291;
61;Runoff Shallow;0.0517381096626142;0.61160548692022;0.336656403417166;
57;Runoff Shallow;0.11405901448349;0.652746460171697;0.233194525344813;
64;Runoff Shallow;0.0376277161182649;0.599312414853291;0.363059869028444;
65;Runoff Shallow;0.0329242516034817;0.577224228577078;0.38985151981944;
67;Runoff Shallow;0.0505622435339184;0.505268776400047;0.444168980066035;
68;Runoff Shallow;0.063496770949572;0.479453243853116;0.457049985197312;
74;Runoff Steep;0.0258690548313071;0.177493171158685;0.796637774010008;
78;Runoff Steep;0.047034645147831;0.538600803698997;0.414364551153172;4
77;Runoff Steep;0.0341001177321774;0.362787008343687;0.603112873924135;4
76;Runoff Steep;0.0282207870886986;0.259820360019805;0.711958852891496;4
73;Runoff Steep;0.0188138580591324;0.145379221683265;0.835806920257603;4
72;Runoff Steep;0.0188138580591324;0.0720594660824503;0.909126675858417;4
75;Runoff Steep;0.0587933064347888;0.219075851874255;0.722130841690956;4
109;Solifluction;0.331222054519825;0.0623825701279208;0.606395375352254;5
79;Solifluction;0.0598088913604017;0.460556053851353;0.479635054788245;5
80;Solifluction;0.0388720899751951;0.400936877281269;0.560191032743536;5
81;Solifluction;0.0331249427554835;0.355069380484035;0.611805676760481;5
84;Solifluction;0.0228552940996774;0.240389192067524;0.736755513832798;5
85;Solifluction;0.0229838283510186;0.185502815934599;0.791513355714383;5
89;Solifluction;0.0501224073634603;0.0968543440910121;0.853023248545528;5
90;Solifluction;0.07244095195059;0.0664449772321435;0.861114070817267;5
91;Solifluction;0.106468014729378;0.0362933104128667;0.857238674857755;5
92;Solifluction;0.117006633207437;0.0361186746993652;0.846874692093197;5
86;Solifluction;0.0429125879687595;0.175573479399017;0.781513932632223;
87;Solifluction;0.0464746529156624;0.15450937045599;0.799015976628348;
88;Solifluction;0.0570680174637374;0.130957204167354;0.811974778368909;
82;Solifluction;0.0460985712172922;0.31510284136344;0.638798587419268;
83;Solifluction;0.0356361211844733;0.282752217146318;0.681611661669209;
93;Solifluction;0.0887648018709795;0.0958752083505653;0.815359989778455;
